順位,商品名,価格,店舗名,商品コード,itemUrl,レビュー数
1,ニップン めちゃラク レンジでクレープミックス 70g×4個,1000,生活クリエイト　暮らしの専門店,seikatsu-create:10001201,https://item.rakuten.co.jp/seikatsu-create/2025092205/?rafcid=wsc_i_is_1023124763673215282,0
2,内祝 お祝い 贈り物｜いろどり野菜のおかき (IR-2N)｜｜内祝い お返し お礼 お祝い 出産内祝い,2970,本舗 Online Store,oiwaiya:10180536,https://item.rakuten.co.jp/oiwaiya/ha-m7052-03/?rafcid=wsc_i_is_1023124763673215282,0
3,園田食品 あくまき 20本メーカー直送 代引不可 同梱不可 日付指定不可,12744,オーリック,kinko:10034108,https://item.rakuten.co.jp/kinko/243706/?rafcid=wsc_i_is_1023124763673215282,0
4,【ふるさと納税】宇治の茶団子12本と米粉のもちもちどら焼き(抹茶きな粉餡)10個 | 西宮 老舗和菓子店 宇治抹茶使用 米粉生地 和菓子詰合せ 人気 おすすめ 茶団子 どら焼き 抹茶 きなこ ギフト お取り寄せ 通販 送料無料 ふるさと納税,14000,兵庫県西宮市,f282049-nishinomiya:10000689,https://item.rakuten.co.jp/f282049-nishinomiya/eq002/?rafcid=wsc_i_is_1023124763673215282,0
5,全珍 4枚姿フライ [1箱 10個入] 【いか お菓子 駄菓子 おつまみ まとめ買い】,1078,ミカミオンラインショップ,3upmikami:10006382,https://item.rakuten.co.jp/3upmikami/4973508914109-m/?rafcid=wsc_i_is_1023124763673215282,0
6,ピーターラビットTM コーヒー＆スイーツギフト PSGー30N ラッピング無料 のし無料 メッセージカード無料 ギフト 洋菓子 焼き菓子 コーヒー 内祝い 贈り物 お返し 御礼 出産 歳暮 中元 見舞い プレゼント 法事 快気 セット A31,3375,ファッションPetit＆ギフト,petitcaprice:10020988,https://item.rakuten.co.jp/petitcaprice/ss24-0450-044/?rafcid=wsc_i_is_1023124763673215282,0
7,寒づくりいよかんゼリー12個入り,4800,愛媛みかんの「のま果樹園」,kajuen:10008186,https://item.rakuten.co.jp/kajuen/190062/?rafcid=wsc_i_is_1023124763673215282,0
8,穂のなごみ 米菓詰合せ BK-EO L9109564｜せんべい5種 各15g×4袋（計20袋）｜国産米100%使用｜ギフト/香典返し/内祝い/和菓子/常温保存120日/送料無料,4416,プラスワンインテリア,morimatsu:10002100,https://item.rakuten.co.jp/morimatsu/4951648013951/?rafcid=wsc_i_is_1023124763673215282,0
9,無双本葛100％ ムソー,764,marche du monde 世界のマルシェ,sekamaru:10007044,https://item.rakuten.co.jp/sekamaru/muso-honkuzu-110-1/?rafcid=wsc_i_is_1023124763673215282,0
10,【送料込み】【送料無料！】なだ万監修 輪の絆 和三盆 バウムクーヘン【出産内祝 内祝い お返し お祝い返し 返礼】【手土産 日持ち おすすめ 七五三 七五三内祝 入学内祝い】【ギフトセット スイーツ 和菓子 洋菓子 老舗 料亭 スイーツセット バームクーヘン】,2500,ナカムラ赤ちゃん店楽天市場店,babyshop:10035989,https://item.rakuten.co.jp/babyshop/801809/?rafcid=wsc_i_is_1023124763673215282,0
11,キャラバンコーヒー カフェタイムセット【出産内祝い 内祝いギフト】【出産祝い お返し 返礼 入学内祝い 進学内祝い 結婚内祝い】【御中元 お中元 洋菓子 お菓子 ギフトセット 人気】【送料込み 送料無料（※沖縄、離島は除く)】,1960,マタニティ＆ベビー apibaby store,okauchi-api:10012728,https://item.rakuten.co.jp/okauchi-api/15a0294/?rafcid=wsc_i_is_1023124763673215282,0
12,モナン へーゼルナッツシロップ 瓶 700ml,1761,なないろ九州,nanairo-kyusyu:10000200,https://item.rakuten.co.jp/nanairo-kyusyu/170267/?rafcid=wsc_i_is_1023124763673215282,0
13,《セット販売》　和歌山産業 蔵王高原農園 いつものナタデココ (120g)×10個セット ナタデココシロップ漬け デザート お菓子　※軽減税率対象商品,1296,ドラッグストアウェルネス,wellness-web:10160735,https://item.rakuten.co.jp/wellness-web/10170148/?rafcid=wsc_i_is_1023124763673215282,0
14,コンビネーションギフト ベイクドスイーツセレクション&今治タオルセット (MJ3-BT2),6886,イースクエア,e-squ:14104095,https://item.rakuten.co.jp/e-squ/bn000003757/?rafcid=wsc_i_is_1023124763673215282,0
15,はごろも　シーチキンギフト 贈答品 ギフト 贈り物,6860,Shop-Polori 楽天市場店,polori:10041164,https://item.rakuten.co.jp/polori/shaddy-25-0466-040/?rafcid=wsc_i_is_1023124763673215282,0
16,カロリーメイト ブロック 4本入 アソートパック 20箱入 コストコ,5151,SMiTH 楽天市場店,smithshop:10000346,https://item.rakuten.co.jp/smithshop/costco09171/?rafcid=wsc_i_is_1023124763673215282,0
17,(地域限定送料無料)【50袋】お菓子 詰め合わせ 透明袋 袋詰め さんきゅーマーチ (omtma9319x50k)【お菓子詰め合わせ 駄菓子 お祭り 子ども会 イベント 問屋 販促 縁日 子供会 こども会 個包装 業務用 大量 バラまき スナック 旅行 まとめ買い 詰合せ 景品 ばらまき】,9720,さんきゅーマーチ,39march:10025870,https://item.rakuten.co.jp/39march/omtma9319x50k/?rafcid=wsc_i_is_1023124763673215282,0
18,★送料無料★King Islandココナッツチップス コーヒー味 40gx4袋 ローストココナッツチップス King Island,1490,韓国のりジャパン,knorij:10000173,https://item.rakuten.co.jp/knorij/mini-19/?rafcid=wsc_i_is_1023124763673215282,0
19,【本日楽天ポイント4倍相当】【メール便で送料無料でお届け 代引き不可】ノーベル製菓株式会社　VC-3000のど飴ピンクグレープフルーツ 90g＜ノンシュガー＞,471,神戸たんぽぽ薬房,koubetanpopo:10143260,https://item.rakuten.co.jp/koubetanpopo/te_4902124680433/?rafcid=wsc_i_is_1023124763673215282,0
20,ヴィーガン生チョコレート（プレーン） 〜 バレンタイン ギフト 手土産 スイーツ チョコレート 乳製品アレルギー アレルギー 乳製品不使用 卵不使用 小麦不使用 乳化剤不使用 白砂糖不使用 ビーガン グルテンフリー 糖質制限 〜,1380,Coco ChouChou楽天市場店,cocochouchou:10000167,https://item.rakuten.co.jp/cocochouchou/chocolat12/?rafcid=wsc_i_is_1023124763673215282,0
21,よっちゃん食品工業 けんこうかむかむ 125g 2個セット,4100,おつまみと駄菓子の店 families-c,families-circle:10317391,https://item.rakuten.co.jp/families-circle/2415-004353/?rafcid=wsc_i_is_1023124763673215282,0
22,大阪京菓 ZRxケロッグ　380G 素材まるごとグラノラ脂質70％オフ×36個【xe】【送料無料（沖縄は別途送料）】,28346,大阪京菓楽天市場店,osaka:10351222,https://item.rakuten.co.jp/osaka/4901113103045xes5/?rafcid=wsc_i_is_1023124763673215282,0
23,自家挽きアーモンドのガトーセレクション(24個) 184 (-0386-071-) | 内祝い ギフト 出産内祝い 引き出物 結婚内祝い 快気祝い お返し 志,3224,まごころギフトたばき,magokorotabaki:10658783,https://item.rakuten.co.jp/magokorotabaki/sd-gg-801292/?rafcid=wsc_i_is_1023124763673215282,0
24,ブルボン ロアンヌバニラ 12枚（2枚×6袋） 36コ入り 2022/10/25発売 (4901360348954c),9296,おかしのマーチ,okashinomarch:10031892,https://item.rakuten.co.jp/okashinomarch/4901360348954c/?rafcid=wsc_i_is_1023124763673215282,0
25,しっとり焼き干し芋 150g×1袋＆しっとり甘い干し芋 52g×2袋 計3袋詰め合わせセット 干しいも やわらかい スティック 自然な甘み まろやか 和菓子 スイーツ さつまいも 笑顔 壮関【メール便送料無料】,1080,みどり商店,midorisyoten:10004611,https://item.rakuten.co.jp/midorisyoten/228-010-042-3ma/?rafcid=wsc_i_is_1023124763673215282,0
26,スイーツアンジュ 美食スイーツタイム＜2000＞ギフト 8種類 10個 退職 お菓子 ワッフル ドーナツ ブッセ 洋菓子 詰め合わせ 内祝い お祝い 手土産 引き出物 お詫び 帰省 仏事 志 香典返し 御供 お供え 満中陰志 粗供養 無料のし 無料包装 選べる包装紙,1944,内祝い・お返しならシンセアギフト,sincere:10054556,https://item.rakuten.co.jp/sincere/10054556/?rafcid=wsc_i_is_1023124763673215282,0
27,【ポイント5倍】匠や本舗 美食バウムクーヘン ギフトセット【結婚内祝い 引出物 寿 引き出物 新築内祝い 出産内祝い 内祝い お祝い お祝い返し ギフト 出産祝い お返し 返礼 快気祝 快気内祝い 御挨拶】【御歳暮 お歳暮 寒中御見舞】【送料無料 送料込み】,3360,内祝いギフト専門店AGERU,ageru:10003043,https://item.rakuten.co.jp/ageru/706357c/?rafcid=wsc_i_is_1023124763673215282,0
28,【ふるさと納税】サブレ6種詰め合わせBOX お菓子 スイーツ セット ギフト 手作り ふるさと納税 クッキー サブレ 詰め合わせ,21000,大阪府泉南市,f272281-sennan:10001406,https://item.rakuten.co.jp/f272281-sennan/10001392/?rafcid=wsc_i_is_1023124763673215282,0
29,(地域限定送料無料) 業務用 ロッテ ベーシック バリューチョコレート 4L 3コ入り (冷凍)(590021684ck),15120,さんきゅーマーチ,39march:10014043,https://item.rakuten.co.jp/39march/590021684ck/?rafcid=wsc_i_is_1023124763673215282,0
30,"フィラデルフィア キャンディーズ ラズベリー メルタウェイ トリュフ、ダーク チョコレート 1 ポンド ギフト ボックス Philadelphia Candies Raspberry Meltaway Truffles, Dark Chocolate 1 pound Gift Box",11193,Glomarket,glomarket:10344548,https://item.rakuten.co.jp/glomarket/10344548/?rafcid=wsc_i_is_1023124763673215282,0
31,おいしさいろいろ ギフト Premium Gift　お中元 引き出物 引出物 出産祝い 出産内祝い 内祝い お歳暮 快気祝い 快気内祝い お返し ご挨拶 新築内祝い 香典返し,2700,23D FACTORY ＆ 和ブランドKIRISA,23d-factory:10001445,https://item.rakuten.co.jp/23d-factory/7637-044/?rafcid=wsc_i_is_1023124763673215282,0
32,"【アメリカウォルマート品】トスティトス カンティーナ トルティーヤチップス シン＆クリスプ 425.2g Tostitos Cantina Thin and Crispy Tortilla Chips, Party Size, 15 oz Bag 【お取り寄せ商品】【合わせて買いたい】",1572,カリフォルニアスマイル,cmga:10012780,https://item.rakuten.co.jp/cmga/wm-22988/?rafcid=wsc_i_is_1023124763673215282,0
33,"ベアベイククランチアップルチップス、グラニースミス、グルテンフリー、3.4オンス袋、6個入り Bare Baked Crunchy Apple Chips, Granny Smith, Gluten Free, 3.4 Ounce Bag, 6 Count",10339,Glomarket,glomarket:10006169,https://item.rakuten.co.jp/glomarket/10006169/?rafcid=wsc_i_is_1023124763673215282,0
34,内祝い お返し スイーツ ギフト お菓子 和菓子 セット 詰め合わせ えびせん 赤えび 海老 せんべい 煎餅 ノンフライ 米菓 個包装 食品 食べ物 出産内祝い 結婚内祝い 結婚祝い 出産祝い 香典返し 快気祝い お礼 EYG-CR お歳暮,1812,ジャパンギフト,japangift:10500012,https://item.rakuten.co.jp/japangift/trgcb143-027/?rafcid=wsc_i_is_1023124763673215282,0
35,臥龍鍋巴(爆辣味) 【3点セット】激辛おこげ 中国の米料理の一つである おつまみ 軽食 200g×3点,1690,東洋ツバメの巣,yanwo:10002111,https://item.rakuten.co.jp/yanwo/28gb-bl-3-wl/?rafcid=wsc_i_is_1023124763673215282,0
36,和 フィナンシェ 18個 焼菓子 お菓子 スイーツ ギフト 新築内祝い 両親 お返し 職場 半返し ママ友 身内 品物 快気祝い 快気内祝い 就職祝い お見舞い お返し 退院祝い お礼 プレゼント 50代 お供え 通販 還暦 古希 (SD) 軽 5000円 香典返し 七五三 誕生日,4400,お返しギフトと内祝いのアイプレ,i-preshop2:10002431,https://item.rakuten.co.jp/i-preshop2/17-0462-120-2/?rafcid=wsc_i_is_1023124763673215282,0
37,大阪京菓 ZRxカルビー　105G クリスプうましお味×24個【xwa5】【送料無料（沖縄は別途送料）】,7838,大阪京菓楽天市場店,osaka:10378416,https://item.rakuten.co.jp/osaka/4901330621032xw/?rafcid=wsc_i_is_1023124763673215282,0
38,ギフト スイーツ ジェラート 干し芋ジェラート12個 送料無料 冷凍便 生産元直送のため同梱不可 山形 マルノー食品 アイスクリーム,5499,まるごと山形,yamagatamaru:10009470,https://item.rakuten.co.jp/yamagatamaru/jset-dryimo12/?rafcid=wsc_i_is_1023124763673215282,0
39,明治マカダミアチョコレート 132粒 ct52694,5225,コスト オンライン 創,soukikaku:10006020,https://item.rakuten.co.jp/soukikaku/ct52694/?rafcid=wsc_i_is_1023124763673215282,0
40,まとめ買い 創健社 ポテトチップス うす塩味 60g 20袋セット 国産ジャガイモ100%使用 植物油使用 海水塩使用 おやつ 安心 安全☆★,4350,Webby,webby:14657240,https://item.rakuten.co.jp/webby/50863392/?rafcid=wsc_i_is_1023124763673215282,0
41,大阪京菓 ZRx大阪前田　1個 チーズケーキ×24個【xwa5】【送料無料（沖縄は別途送料）】,11925,大阪京菓楽天市場店,osaka:10376671,https://item.rakuten.co.jp/osaka/4901147407584xwa5/?rafcid=wsc_i_is_1023124763673215282,0
42,【ポイント5倍】京・伏見 三源庵 抹茶金箔カステラ【出産内祝い 内祝い お祝い お祝い返し ギフト】【出産祝い お返し 返礼 結婚内祝い 新築内祝い 成人内祝い 初節句内祝 快気祝い】【お菓子 和菓子 人気 スイーツ 焼き菓子 カステラセット】【送料無料 送料込み】,3364,内祝いギフト専門店コウノトリ,averl:10008452,https://item.rakuten.co.jp/averl/700282_ss/?rafcid=wsc_i_is_1023124763673215282,0
43,【15個セット】 モンデリーズ ホールズ ハイパーミント 12粒 x15コ(代引不可),4040,リコメン堂,rcmd:35589828,https://item.rakuten.co.jp/rcmd/qk-4547894417256/?rafcid=wsc_i_is_1023124763673215282,0
44,松屋総本店 宮崎製菓 家傳開運のど飴 70g×5個 [ゆうパケット・送料無料],1730,福薬本舗　健康館,fukuyakuhonpo:10069425,https://item.rakuten.co.jp/fukuyakuhonpo/4978967019006-5/?rafcid=wsc_i_is_1023124763673215282,0
45,【ポイント5倍】烏鶏庵 烏骨鶏かすていら＆バームクーヘン詰合せ（木箱入）【結婚内祝い 引出物 寿 引き出物 新築内祝い 出産内祝い 内祝い お祝い お祝い返し ギフト 出産祝い お返し 返礼 快気祝 御挨拶】【御歳暮 お歳暮 寒中御見舞】【送料無料 送料込み】,13620,内祝いギフト専門店AGERU,ageru:10003035,https://item.rakuten.co.jp/ageru/706063c/?rafcid=wsc_i_is_1023124763673215282,0
46,【メール便送料無料】杉本屋製菓 まけんグミ サイダー味 15g入×20個セット＜じゃんけんぽんグミ＞(※プレゼントキャンペーンは終了している場合がございます),1369,N丁目薬品,n-yakuhin:10010109,https://item.rakuten.co.jp/n-yakuhin/4901818155196-20nki/?rafcid=wsc_i_is_1023124763673215282,0
47,大阪京菓 ZRxサンコー　100G 全粒粉クラッカー×60個【xrs5】【送料無料（沖縄は別途送料）】,27117,大阪京菓楽天市場店,osaka:10359444,https://item.rakuten.co.jp/osaka/4973728906106xrs5/?rafcid=wsc_i_is_1023124763673215282,0
48,【黒豆ものがたり】と-21　黒豆菓子　4箱入,2350,京の黒豆　北尾,kitaoshoji:10000411,https://item.rakuten.co.jp/kitaoshoji/to-21/?rafcid=wsc_i_is_1023124763673215282,0
49,沖縄 ブルーシールアイス　（12個入） ジェラート アイスクリーム アイス 人気 OKINAWAN 沖縄スイーツ 父の日 母の日 お中元 お歳暮 ギフト,5280,おとなの週末　お取り寄せ倶楽部,otoshuclub:10003872,https://item.rakuten.co.jp/otoshuclub/8501650/?rafcid=wsc_i_is_1023124763673215282,0
50,ロアカー　クワドラティーニ　ウエハース　ラズベリーヨーグルト　110g　12セット,7215,QUOLI,q-uoli:10545349,https://item.rakuten.co.jp/q-uoli/ba87-1684975/?rafcid=wsc_i_is_1023124763673215282,0
51,ジョリーランチャーズハードキャンディー1ポンド（ブルーラズベリー）,5198,Founder,founder:10019347,https://item.rakuten.co.jp/founder/ry23011007/?rafcid=wsc_i_is_1023124763673215282,0
52,井村屋 レンジで簡単ぜんざい＆壮関 国産 紅はるか 干し芋 計4袋 詰め合わせセット【メール便送料無料】,1130,みどり商店,midorisyoten:10002580,https://item.rakuten.co.jp/midorisyoten/228-010-043-4mb/?rafcid=wsc_i_is_1023124763673215282,0
53,カルビー　フルグラ　8個セット　8LINK,8100,Dream Store78,dreamstore78:10023365,https://item.rakuten.co.jp/dreamstore78/4901330748296-8/?rafcid=wsc_i_is_1023124763673215282,0
54,【ふるさと納税】岡山備中大納言小豆と栗を包み込んだ手焼きの銘菓子『やまんぼう』3本入り,13000,岡山県井原市,f332071-ibara:10000338,https://item.rakuten.co.jp/f332071-ibara/80-01/?rafcid=wsc_i_is_1023124763673215282,0
55,坂井宏行シェフ監修 あまおう苺パウンドケーキ・ドリップコーヒーアソートギフト・ポイントアップ中 送料無料 内祝 洋菓子 出産内祝い 内祝い 七五三 快気祝い お返し 結婚祝い 出産祝い ギフト 新築内祝い 成人内祝い 新築祝い お祝い コーヒーギフト 寒中御見舞,3849,ギフトショップ　メロディ,jhs:10044836,https://item.rakuten.co.jp/jhs/701403/?rafcid=wsc_i_is_1023124763673215282,0
