順位,商品名,価格,店舗名,商品コード,itemUrl,レビュー数
1,セントー ショコラティエのアイスアソート ギフト 贈り物 送料無料【産直】[24],10674,本家屋,honkeya:10884564,https://item.rakuten.co.jp/honkeya/211016466-24-4820-472/?rafcid=wsc_i_is_1023124763673215282,0
2,"1,050円お得！18ケ入り×2箱(パック詰め)",7050,大みか饅頭の運平堂本店,unpeido:10000257,https://item.rakuten.co.jp/unpeido/p3-06wnx2_2022/?rafcid=wsc_i_is_1023124763673215282,0
3,くるみ お菓子 塩くるみ黒糖 120g 5袋セット 沖縄県産 さとうきび 黒糖 菓子 持ち歩き ナッツ おやつ クルミ 胡桃 青い海 海水塩 金城黒糖,2600,沖縄健康食品Webショップ,okiken:10003474,https://item.rakuten.co.jp/okiken/kk-shiokurumix05/?rafcid=wsc_i_is_1023124763673215282,0
4,【ふるさと納税】宇治の茶団子12本と米粉のもちもちどら焼き(抹茶きな粉餡)10個 | 西宮 老舗和菓子店 宇治抹茶使用 米粉生地 和菓子詰合せ 人気 おすすめ 茶団子 どら焼き 抹茶 きなこ ギフト お取り寄せ 通販 送料無料 ふるさと納税,14000,兵庫県西宮市,f282049-nishinomiya:10000689,https://item.rakuten.co.jp/f282049-nishinomiya/eq002/?rafcid=wsc_i_is_1023124763673215282,0
5,全珍 4枚姿フライ [1箱 10個入] 【いか お菓子 駄菓子 おつまみ まとめ買い】,1078,ミカミオンラインショップ,3upmikami:10006382,https://item.rakuten.co.jp/3upmikami/4973508914109-m/?rafcid=wsc_i_is_1023124763673215282,0
6,【メール便送料無料】コリス ドラゴンボール超ガム コーラ味 1枚入り×55個+当たり分5個(計60個),1340,N丁目薬品,n-yakuhin:10004284,https://item.rakuten.co.jp/n-yakuhin/4901361001063-55nki/?rafcid=wsc_i_is_1023124763673215282,0
7,寒づくりいよかんゼリー12個入り,4800,愛媛みかんの「のま果樹園」,kajuen:10008186,https://item.rakuten.co.jp/kajuen/190062/?rafcid=wsc_i_is_1023124763673215282,0
8,抹茶きなこ飴（80g（個包装込み））【純正食品マルシマ】□,443,お〜がにっくしぜんかん,shizenkan-genki:10036809,https://item.rakuten.co.jp/shizenkan-genki/sk161769/?rafcid=wsc_i_is_1023124763673215282,0
9,無双本葛100％ ムソー,764,marche du monde 世界のマルシェ,sekamaru:10007044,https://item.rakuten.co.jp/sekamaru/muso-honkuzu-110-1/?rafcid=wsc_i_is_1023124763673215282,0
10,（CSA-S）メリーチョコレート　カカオサブレアソート,3240,山形屋,yamakataya:10053600,https://item.rakuten.co.jp/yamakataya/25aw252341/?rafcid=wsc_i_is_1023124763673215282,0
11,Stur - 液体ウォーターエンハンサーフレッシュフルーツパンチ - 1.62 fl。オズ。 Stur - Liquid Water Enhancer Freshly Fruit Punch - 1.62 fl. oz.,3061,Glomarket,glomarket:11095692,https://item.rakuten.co.jp/glomarket/11095692/?rafcid=wsc_i_is_1023124763673215282,0
12,フレンズクレープ　みかん　35g　1個　アレルギー配慮　学校給食デザート　冷凍スイーツ 卵・乳・小麦不使用 専用工場 国産米粉 国産大豆 自家製豆乳 ミカン 蜜柑 フルーツ 果物,98,PASSIOS（パシオズ）,koukyourin:10002126,https://item.rakuten.co.jp/koukyourin/frozen101/?rafcid=wsc_i_is_1023124763673215282,0
13,《セット販売》　和歌山産業 蔵王高原農園 いつものナタデココ (120g)×10個セット ナタデココシロップ漬け デザート お菓子　※軽減税率対象商品,1296,ドラッグストアウェルネス,wellness-web:10160735,https://item.rakuten.co.jp/wellness-web/10170148/?rafcid=wsc_i_is_1023124763673215282,0
14,コンビネーションギフト ベイクドスイーツセレクション&今治タオルセット (MJ3-BT2),6886,イースクエア,e-squ:14104095,https://item.rakuten.co.jp/e-squ/bn000003757/?rafcid=wsc_i_is_1023124763673215282,0
15,送料無料 お歳暮 お中元 贈答用 引出物 果実ゼリー詰め合わせ 8パック（ラ・フランス・佐藤錦・甘夏・ぶどう・パイン・マンゴ・みかん・三種果実）,5500,いりえフルーツ,iriefruts:10000129,https://item.rakuten.co.jp/iriefruts/10000129/?rafcid=wsc_i_is_1023124763673215282,0
16,EX ゆずシャーベット 2000ml 森永乳業 アイスクリーム,2475,業務用製菓材料のスイートキッチン,kashizairyo:10109983,https://item.rakuten.co.jp/kashizairyo/48547/?rafcid=wsc_i_is_1023124763673215282,0
17,【送料無料ポスト投函F】希少糖入り芋けんぴ420g (210g×2) 小分け ｜ さつまいも いもけんぴ けんぴ かりんとう おやつ お菓子 お茶請け 黄金千貫 希少糖 スイーツ 和菓子 ギフト お礼 セット 粗品 お配り プチギフト ポイント消化 買いまわり 買い回り,1490,健康日和,tennenlife:10002116,https://item.rakuten.co.jp/tennenlife/snc00010135/?rafcid=wsc_i_is_1023124763673215282,0
18,【6個購入で1個多くおまけ】【楽天倉庫直送】香ばしい皮と甘さ控えめ餡子が絶妙!!【お徳用】ひとくち最中 600g(200g×3袋)【ヘルシ価格】,1990,ヘルシー救急BOX,parusu:11154471,https://item.rakuten.co.jp/parusu/ten-s178-4573186216719-mom2101/?rafcid=wsc_i_is_1023124763673215282,0
19,"BLUEGREEN BLUE GREEN ORGANICS, Agave syrup, Agave gallon, Agave, Gluten Free, Organic, Sweetener, fruit, teas, coffees, pancakes or any baked good, Family-friendly, Sugar substitute, Raw, 176 Oz",20432,Glomarket,glomarket:11101935,https://item.rakuten.co.jp/glomarket/11101935/?rafcid=wsc_i_is_1023124763673215282,0
20,いちご割れチョコ　ヒルゼンミルキー,540,あいたいよう楽天市場店,i-taiyou:10000128,https://item.rakuten.co.jp/i-taiyou/10000128/?rafcid=wsc_i_is_1023124763673215282,0
21,【お買上特典】ふっくりんこJAPON・白米 小魚ケール味 14g（約10枚） 【澤田米穀店】,230,健康サポート専門店,kenkousupport:10057362,https://item.rakuten.co.jp/kenkousupport/0038-0-33448/?rafcid=wsc_i_is_1023124763673215282,0
